,x
790,0.384509255
791,0.373163965
792,0.44997967
793,0.473213631
794,0.460915563
795,0.514557288
796,0.43378035
797,0.474807856
798,0.529590567
799,0.511954802
800,0.50851938
801,0.520525649
802,0.511140299
803,0.385136889
804,0.468586079
805,0.402864942
806,0.418990875
807,0.603945168
808,0.506289854
809,0.359158431
810,0.536009756
811,0.471047831
812,0.501068259
813,0.477333119
814,0.43998074
815,0.439186381
816,0.47058605
817,0.454640849
818,0.455688381
819,0.441224539
820,0.480711445
821,0.513961876
822,0.419664909
823,0.436449904
824,0.441702947
825,0.503627524
826,0.431926067
827,0.376667773
828,0.455803678
829,0.454250637
830,0.412101304
831,0.471988984
832,0.462693343
833,0.44816801
834,0.443185283
835,0.50506887
836,0.437085402
837,0.416141092
838,0.473933897
839,0.44186729
840,0.383425421
841,0.446270598
842,0.442863758
843,0.4943435
844,0.455140798
845,0.479933583
846,0.431714853
847,0.486544796
848,0.52802211
849,0.400920952
850,0.487142685
851,0.450480903
852,0.59144919
853,0.399032561
854,0.497025805
855,0.415585194
856,0.457933013
857,0.484803159
858,0.390465539
859,0.439362109
860,0.475364922
861,0.433792077
862,0.401811979
863,0.537646558
864,0.485262673
865,0.375180625
866,0.518848783
867,0.499217681
868,0.456061376
869,0.471081715
870,0.418427155
871,0.494899574
872,0.523908662
873,0.528688689
874,0.49912012
875,0.403242093
876,0.603935492
877,0.453344266
878,0.436611297
879,0.355267653
880,0.479254115
881,0.597966974
882,0.490733311
883,0.61344565
884,0.514615239
885,0.480775352
886,0.470890026
887,0.449545307
888,0.42783166
889,0.58504626
890,0.523416405
891,0.435720612
892,0.55726197
893,0.628619117
894,0.555892201
895,0.41492619
896,0.42954683
897,0.438071977
898,0.490463262
899,0.425857476
900,0.434828644
901,0.499939692
902,0.557521984
903,0.473241744
904,0.55435075
905,0.412940668
906,0.584355753
907,0.480658356
908,0.502804227
909,0.56602479
910,0.614101744
911,0.431486123
912,0.387824614
913,0.432901178
914,0.537021577
915,0.540521502
916,0.442489589
917,0.461579195
918,0.457922824
919,0.518801337
920,0.393942849
921,0.465749894
922,0.457001089
923,0.517258334
924,0.502672797
925,0.497131274
926,0.491332078
927,0.433006397
928,0.429317961
929,0.43594115
930,0.457942249
931,0.439914549
932,0.56800627
933,0.544509808
934,0.412637753
935,0.480554423
936,0.483434205
937,0.458719621
938,0.564310794
939,0.480031257
940,0.47931546
941,0.431706005
942,0.528240935
943,0.435876449
944,0.418064689
945,0.518439141
946,0.383141567
947,0.39242868
948,0.39481382
949,0.478424924
950,0.488155158
951,0.45145858
952,0.509089091
953,0.576714709
954,0.399275835
955,0.415871472
956,0.534285941
957,0.462365711
958,0.499327399
959,0.423503015
960,0.402611726
961,0.472141753
962,0.500945911
963,0.548193118
964,0.494641344
965,0.448424415
966,0.432010616
967,0.382421231
968,0.558550077
969,0.555377945
970,0.494945953
971,0.401094894
972,0.47101556
973,0.454352755
974,0.427972106
975,0.529497621
976,0.472715107
977,0.399219431
978,0.398586867
979,0.441305647
980,0.530044016
981,0.439231244
982,0.414283615
983,0.423593794
984,0.41727058
985,0.427626355
986,0.538314268
987,0.542710295
988,0.567894891
989,0.534129652
990,0.473027428
991,0.51490193
992,0.519616514
993,0.508645744
994,0.468276617
995,0.516248754
996,0.471349291
997,0.38211611
998,0.50678799
999,0.508449954
1000,0.423508815
1001,0.442726786
1002,0.475376923
1003,0.520742815
1004,0.456401675
1005,0.443917839
1006,0.514266239
1007,0.435415839
1008,0.499010433
1009,0.492298718
1010,0.520528178
1011,0.568477422
1012,0.620532312
1013,0.460975911
1014,0.365012319
1015,0.474286597
1016,0.479305834
1017,0.486728755
1018,0.388622347
1019,0.492170424
1020,0.331878
1021,0.452507785
1022,0.440088484
1023,0.517101044
1024,0.422571986
1025,0.517498344
1026,0.482887697
1027,0.501534781
1028,0.552788355
1029,0.568560098
1030,0.53551704
1031,0.347064182
